date,equity
2024-11-14,6100.465984938477
2024-11-15,5667.090686532457
2024-11-16,5724.736343288372
2024-11-17,5805.676652177105
2024-11-18,5726.534997100395
2024-11-19,5521.95964416483
2024-11-20,5295.286671159801
2024-11-21,4822.197238559953
2024-11-22,4766.209147329868
2024-11-23,4904.820846058161
2024-11-24,4877.954619384944
2024-11-25,5435.807942164104
2024-11-26,5562.67470657768
2024-11-27,5110.941071360146
2024-11-28,5146.158127350061
2024-11-29,4940.684778530051
2024-11-30,5055.681492601531
2024-12-01,4961.326261004284
2024-12-02,5121.98411363475
2024-12-03,5106.439556417674
2024-12-04,4792.2341683722025
2024-12-05,5015.646438180226
2024-12-06,4836.893984446088
2024-12-07,4837.014812027124
2024-12-08,4897.4368734805275
2024-12-09,4722.372812007581
2024-12-10,4687.5151336965
2024-12-11,4894.5377307474655
2024-12-12,4842.522895535226
2024-12-13,4907.712611956993
2024-12-14,4903.740764836343
2024-12-15,5038.410655624328
2024-12-16,5118.088893593488
2024-12-17,5123.192780074553
2024-12-18,4842.455649232686
2024-12-19,4711.599626975832
2024-12-20,4699.410524019923
2024-12-21,4723.84623078597
2024-12-22,4821.357976292217
2024-12-23,4840.618246797155
2024-12-24,4643.6457943621
2024-12-25,4658.216824846645
2024-12-26,4814.6607079502355
2024-12-27,4887.471643455348
2024-12-28,4842.861846578471
2024-12-29,4915.808829039598
2024-12-30,4955.4152374803125
2024-12-31,4920.319657727323
2025-01-01,4876.090094650586
2025-01-02,4752.657661567177
2025-01-03,4809.589413382807
2025-01-04,4815.597035816463
2025-01-05,4819.269534839051
2025-01-06,4994.79735079461
2025-01-07,4740.783390822606
2025-01-08,4828.272324893292
2025-01-09,4947.4341917593765
2025-01-10,4830.6899543960035
2025-01-11,4824.14872493638
2025-01-12,4820.357828197063
2025-01-13,4821.720110661861
2025-01-14,4919.578222082425
2025-01-15,5112.161005785467
2025-01-16,5075.900040183514
2025-01-17,5304.118162687567
2025-01-18,5301.500458301802
2025-01-19,5140.541574687017
2025-01-20,5170.707638962837
2025-01-21,4971.481078414861
2025-01-22,5091.761623490743
2025-01-23,5076.9459597736
2025-01-24,5035.489690634831
2025-01-25,5040.5473464240995
2025-01-26,5138.585362343721
2025-01-27,5167.281217561822
2025-01-28,5203.715259754322
2025-01-29,5089.342662699662
2025-01-30,5039.550815989132
2025-01-31,5137.226552707684
